{'eval_loss': 1.430668592453003, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.6269251194901753, 'eval_runtime': 8.6021, 'eval_samples_per_second': 875.603, 'eval_steps_per_second': 54.754}
{'eval_loss': 1.422055721282959, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6290493892724376, 'eval_runtime': 8.6461, 'eval_samples_per_second': 871.144, 'eval_steps_per_second': 54.475}
{'eval_loss': 1.437386393547058, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6303770578863516, 'eval_runtime': 8.6643, 'eval_samples_per_second': 869.316, 'eval_steps_per_second': 54.361}
{'eval_loss': 1.422660231590271, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.6356877323420075, 'eval_runtime': 8.7028, 'eval_samples_per_second': 865.474, 'eval_steps_per_second': 54.121}
{'eval_loss': 1.4288614988327026, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.633563462559745, 'eval_runtime': 8.7029, 'eval_samples_per_second': 865.458, 'eval_steps_per_second': 54.12}
{'eval_loss': 1.4229967594146729, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6311736590546999, 'eval_runtime': 8.7124, 'eval_samples_per_second': 864.514, 'eval_steps_per_second': 54.061}
{'eval_loss': 1.4364089965820312, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.6330323951141795, 'eval_runtime': 8.7318, 'eval_samples_per_second': 862.598, 'eval_steps_per_second': 53.941}
{'eval_loss': 1.4237490892410278, 'eval_model_preparation_time': 0.003, 'eval_acc': 0.6317047265002655, 'eval_runtime': 8.7148, 'eval_samples_per_second': 864.277, 'eval_steps_per_second': 54.046}
{'eval_loss': 1.4239047765731812, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.633563462559745, 'eval_runtime': 8.6783, 'eval_samples_per_second': 867.912, 'eval_steps_per_second': 54.273}
{'eval_loss': 1.4253170490264893, 'eval_model_preparation_time': 0.0028, 'eval_acc': 0.6328996282527881, 'eval_runtime': 8.6777, 'eval_samples_per_second': 867.972, 'eval_steps_per_second': 54.277}
{'eval_loss': 1.4312880039215088, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.6325013276686139, 'eval_runtime': 8.6596, 'eval_samples_per_second': 869.784, 'eval_steps_per_second': 54.39}
{'eval_loss': 1.4451143741607666, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.6344928305894849, 'eval_runtime': 8.6787, 'eval_samples_per_second': 867.869, 'eval_steps_per_second': 54.271}
{'eval_loss': 1.4220795631408691, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6314391927774827, 'eval_runtime': 8.6696, 'eval_samples_per_second': 868.782, 'eval_steps_per_second': 54.328}
{'eval_loss': 1.452307105064392, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6339617631439193, 'eval_runtime': 8.6703, 'eval_samples_per_second': 868.714, 'eval_steps_per_second': 54.323}
