{'eval_loss': 1.418051838874817, 'eval_model_preparation_time': 0.0097, 'eval_acc': 0.7153478491768455, 'eval_runtime': 51.0274, 'eval_samples_per_second': 147.607, 'eval_steps_per_second': 9.23}
{'eval_loss': 1.4021974802017212, 'eval_model_preparation_time': 0.0116, 'eval_acc': 0.7097716409984068, 'eval_runtime': 51.2555, 'eval_samples_per_second': 146.95, 'eval_steps_per_second': 9.189}
{'eval_loss': 1.3892438411712646, 'eval_model_preparation_time': 0.0091, 'eval_acc': 0.710833775889538, 'eval_runtime': 50.9899, 'eval_samples_per_second': 147.715, 'eval_steps_per_second': 9.237}
{'eval_loss': 1.402966022491455, 'eval_model_preparation_time': 0.0097, 'eval_acc': 0.7136218799787573, 'eval_runtime': 51.4091, 'eval_samples_per_second': 146.511, 'eval_steps_per_second': 9.162}
{'eval_loss': 1.4253838062286377, 'eval_model_preparation_time': 0.0089, 'eval_acc': 0.7142857142857143, 'eval_runtime': 51.0121, 'eval_samples_per_second': 147.651, 'eval_steps_per_second': 9.233}
{'eval_loss': 1.42404305934906, 'eval_model_preparation_time': 0.0087, 'eval_acc': 0.7109665427509294, 'eval_runtime': 51.2439, 'eval_samples_per_second': 146.983, 'eval_steps_per_second': 9.191}
{'eval_loss': 1.422670841217041, 'eval_model_preparation_time': 0.009, 'eval_acc': 0.709506107275624, 'eval_runtime': 51.2408, 'eval_samples_per_second': 146.992, 'eval_steps_per_second': 9.192}
{'eval_loss': 1.408508539199829, 'eval_model_preparation_time': 0.0091, 'eval_acc': 0.7133563462559745, 'eval_runtime': 51.1101, 'eval_samples_per_second': 147.368, 'eval_steps_per_second': 9.215}
{'eval_loss': 1.4079533815383911, 'eval_model_preparation_time': 0.0098, 'eval_acc': 0.713489113117366, 'eval_runtime': 51.314, 'eval_samples_per_second': 146.783, 'eval_steps_per_second': 9.179}
{'eval_loss': 1.4049062728881836, 'eval_model_preparation_time': 0.01, 'eval_acc': 0.7132235793945831, 'eval_runtime': 51.3237, 'eval_samples_per_second': 146.755, 'eval_steps_per_second': 9.177}
{'eval_loss': 1.4334263801574707, 'eval_model_preparation_time': 0.0096, 'eval_acc': 0.710833775889538, 'eval_runtime': 51.1473, 'eval_samples_per_second': 147.261, 'eval_steps_per_second': 9.209}
{'eval_loss': 1.4489402770996094, 'eval_model_preparation_time': 0.0092, 'eval_acc': 0.7137546468401487, 'eval_runtime': 50.8053, 'eval_samples_per_second': 148.252, 'eval_steps_per_second': 9.271}
