{'eval_loss': 1.4201314449310303, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.6200212426978227, 'eval_runtime': 17.0214, 'eval_samples_per_second': 442.501, 'eval_steps_per_second': 27.671}
{'eval_loss': 1.4231593608856201, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6257302177376527, 'eval_runtime': 17.1178, 'eval_samples_per_second': 440.011, 'eval_steps_per_second': 27.515}
{'eval_loss': 1.4307783842086792, 'eval_model_preparation_time': 0.0024, 'eval_acc': 0.6212161444503452, 'eval_runtime': 16.8688, 'eval_samples_per_second': 446.505, 'eval_steps_per_second': 27.921}
{'eval_loss': 1.4134751558303833, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6282527881040892, 'eval_runtime': 14.9891, 'eval_samples_per_second': 502.497, 'eval_steps_per_second': 31.423}
{'eval_loss': 1.4007920026779175, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6271906532129581, 'eval_runtime': 14.7588, 'eval_samples_per_second': 510.34, 'eval_steps_per_second': 31.913}
{'eval_loss': 1.399901032447815, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.6293149229952204, 'eval_runtime': 14.9587, 'eval_samples_per_second': 503.521, 'eval_steps_per_second': 31.487}
{'eval_loss': 1.4033470153808594, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.6244025491237387, 'eval_runtime': 15.0043, 'eval_samples_per_second': 501.99, 'eval_steps_per_second': 31.391}
{'eval_loss': 1.3967187404632568, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6286510886882634, 'eval_runtime': 16.9931, 'eval_samples_per_second': 443.239, 'eval_steps_per_second': 27.717}
{'eval_loss': 1.4186745882034302, 'eval_model_preparation_time': 0.0028, 'eval_acc': 0.6275889537971322, 'eval_runtime': 17.1496, 'eval_samples_per_second': 439.195, 'eval_steps_per_second': 27.464}
{'eval_loss': 1.4049866199493408, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6290493892724376, 'eval_runtime': 16.9933, 'eval_samples_per_second': 443.233, 'eval_steps_per_second': 27.717}
{'eval_loss': 1.4144279956817627, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.6315719596388741, 'eval_runtime': 16.9556, 'eval_samples_per_second': 444.219, 'eval_steps_per_second': 27.778}
{'eval_loss': 1.4132245779037476, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.631837493361657, 'eval_runtime': 17.0748, 'eval_samples_per_second': 441.119, 'eval_steps_per_second': 27.585}
{'eval_loss': 1.4094799757003784, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.630509824747743, 'eval_runtime': 15.3107, 'eval_samples_per_second': 491.943, 'eval_steps_per_second': 30.763}
{'eval_loss': 1.404299020767212, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6306425916091344, 'eval_runtime': 15.1434, 'eval_samples_per_second': 497.38, 'eval_steps_per_second': 31.103}
{'eval_loss': 1.4170353412628174, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6302442910249602, 'eval_runtime': 16.7834, 'eval_samples_per_second': 448.776, 'eval_steps_per_second': 28.063}
{'eval_loss': 1.4314985275268555, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.6321030270844398, 'eval_runtime': 16.8974, 'eval_samples_per_second': 445.749, 'eval_steps_per_second': 27.874}
{'eval_loss': 1.4049783945083618, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6339617631439193, 'eval_runtime': 17.2474, 'eval_samples_per_second': 436.703, 'eval_steps_per_second': 27.308}
{'eval_loss': 1.4075239896774292, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.6301115241635687, 'eval_runtime': 16.9805, 'eval_samples_per_second': 443.568, 'eval_steps_per_second': 27.738}
{'eval_loss': 1.4130576848983765, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.6294476898566118, 'eval_runtime': 17.0001, 'eval_samples_per_second': 443.057, 'eval_steps_per_second': 27.706}
{'eval_loss': 1.4195255041122437, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6351566648964418, 'eval_runtime': 17.0231, 'eval_samples_per_second': 442.457, 'eval_steps_per_second': 27.668}
{'eval_loss': 1.4302077293395996, 'eval_model_preparation_time': 0.0028, 'eval_acc': 0.6340945300053107, 'eval_runtime': 16.9, 'eval_samples_per_second': 445.68, 'eval_steps_per_second': 27.87}
{'eval_loss': 1.4350004196166992, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6303770578863516, 'eval_runtime': 15.4835, 'eval_samples_per_second': 486.453, 'eval_steps_per_second': 30.419}
{'eval_loss': 1.4135351181030273, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.6317047265002655, 'eval_runtime': 15.2059, 'eval_samples_per_second': 495.333, 'eval_steps_per_second': 30.975}
{'eval_loss': 1.4299488067626953, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.6293149229952204, 'eval_runtime': 17.2249, 'eval_samples_per_second': 437.274, 'eval_steps_per_second': 27.344}
{'eval_loss': 1.4166548252105713, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.6302442910249602, 'eval_runtime': 17.1396, 'eval_samples_per_second': 439.451, 'eval_steps_per_second': 27.48}
{'eval_loss': 1.4366627931594849, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.633563462559745, 'eval_runtime': 17.1275, 'eval_samples_per_second': 439.761, 'eval_steps_per_second': 27.5}
{'eval_loss': 1.4292973279953003, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.633563462559745, 'eval_runtime': 17.0637, 'eval_samples_per_second': 441.405, 'eval_steps_per_second': 27.602}
