{'eval_loss': 1.431227684020996, 'eval_model_preparation_time': 0.0094, 'eval_acc': 0.7109665427509294, 'eval_runtime': 79.074, 'eval_samples_per_second': 95.253, 'eval_steps_per_second': 5.956}
{'eval_loss': 1.4288606643676758, 'eval_model_preparation_time': 0.0093, 'eval_acc': 0.7117631439192778, 'eval_runtime': 79.8199, 'eval_samples_per_second': 94.362, 'eval_steps_per_second': 5.901}
{'eval_loss': 1.436949372291565, 'eval_model_preparation_time': 0.0098, 'eval_acc': 0.7156133828996283, 'eval_runtime': 78.9986, 'eval_samples_per_second': 95.343, 'eval_steps_per_second': 5.962}
{'eval_loss': 1.4229764938354492, 'eval_model_preparation_time': 0.0116, 'eval_acc': 0.710833775889538, 'eval_runtime': 79.3756, 'eval_samples_per_second': 94.891, 'eval_steps_per_second': 5.934}
{'eval_loss': 1.4434165954589844, 'eval_model_preparation_time': 0.0092, 'eval_acc': 0.7118959107806692, 'eval_runtime': 79.2011, 'eval_samples_per_second': 95.1, 'eval_steps_per_second': 5.947}
{'eval_loss': 1.4339572191238403, 'eval_model_preparation_time': 0.0091, 'eval_acc': 0.7142857142857143, 'eval_runtime': 78.9737, 'eval_samples_per_second': 95.373, 'eval_steps_per_second': 5.964}
{'eval_loss': 1.4392104148864746, 'eval_model_preparation_time': 0.0093, 'eval_acc': 0.7149495485926712, 'eval_runtime': 79.2848, 'eval_samples_per_second': 94.999, 'eval_steps_per_second': 5.941}
{'eval_loss': 1.4451677799224854, 'eval_model_preparation_time': 0.0097, 'eval_acc': 0.7130908125331917, 'eval_runtime': 79.0176, 'eval_samples_per_second': 95.321, 'eval_steps_per_second': 5.961}
{'eval_loss': 1.4182937145233154, 'eval_model_preparation_time': 0.0095, 'eval_acc': 0.7146840148698885, 'eval_runtime': 80.3488, 'eval_samples_per_second': 93.741, 'eval_steps_per_second': 5.862}
{'eval_loss': 1.4307782649993896, 'eval_model_preparation_time': 0.0093, 'eval_acc': 0.7148167817312798, 'eval_runtime': 80.3894, 'eval_samples_per_second': 93.694, 'eval_steps_per_second': 5.859}
{'eval_loss': 1.43275785446167, 'eval_model_preparation_time': 0.0112, 'eval_acc': 0.7154806160382369, 'eval_runtime': 80.6678, 'eval_samples_per_second': 93.371, 'eval_steps_per_second': 5.839}
{'eval_loss': 1.4171123504638672, 'eval_model_preparation_time': 0.0094, 'eval_acc': 0.716542750929368, 'eval_runtime': 80.2196, 'eval_samples_per_second': 93.892, 'eval_steps_per_second': 5.871}
{'eval_loss': 1.4441007375717163, 'eval_model_preparation_time': 0.0094, 'eval_acc': 0.7166755177907594, 'eval_runtime': 79.009, 'eval_samples_per_second': 95.331, 'eval_steps_per_second': 5.961}
{'eval_loss': 1.472264051437378, 'eval_model_preparation_time': 0.0091, 'eval_acc': 0.7158789166224111, 'eval_runtime': 80.4493, 'eval_samples_per_second': 93.624, 'eval_steps_per_second': 5.855}
